English,Tamil
you,நீங்கள்
I or I.,நான் அல்லது நான்.
the,தி
and,மற்றும்
that,அந்த
it,அது
me,நான்
what,என்ன
is,இருக்கிறது
in,இல்
this,இது
know,தெரியும்
I'm,நான்
for,க்கு
no,இல்லை
have,வேண்டும்
my,என்
don't,வேண்டாம்
just,ஜஸ்ட்
not,இல்லை
do,செய்
be,இரு
on,ஆன்
your,உங்கள்
was,இருந்தது
we,நாங்கள்
it's,அதன்
with,உடன்
so,அதனால்
but,ஆனாலும்
all,எல்லாம்
well,நன்றாக
are,அவை
he,அவர்
oh,ஓ
about,பற்றி
right,சரி
you're,நீங்கள்
get,பெறு
here,இங்கே
out,வெளியே
going,செல்கிறது
like,போன்றது
yeah,ஆம்
if,என்றால்
her,அவள்
she,அவள்
can,முடியும்
up,மேலே
want,வேண்டும்
think,சிந்தியுங்கள்
that's,அதுதான்
now,இப்போது
go,போ
him,அவர்
how,எப்படி
got,கிடைத்தது
there,அங்கே
one,ஒன்று
did,செய்தது
why,ஏன்
see,பார்க்க
come,வாருங்கள்
good,நல்ல
they,அவர்கள்
really,உண்மையில்
as,என
would,விருப்பம்
look,பார்
when,எப்பொழுது
time,நேரம்
will,விருப்பம்
okay,சரி
back,மீண்டும்
can't,முடியாது
mean,சராசரி
tell,சொல்லுங்கள்
I'll,நான்
from,இருந்து
hey,ஏய்
were,இருந்தது
he's,அவர்
could,முடியும்
didn't,இல்லை
yes,ஆம்
his,அவனது
been,இருந்தது
or,அல்லது
something,ஏதோ
because,ஏனெனில்
some,சில
had,இருந்தது
then,பிறகு
say,சொல்
ok,சரி
take,எடுத்துக் கொள்ளுங்கள்
an,ஒரு
way,வழி
us,எங்களுக்கு
little,சிறிய
make,செய்ய
need,தேவை
gonna,போகிறது
never,ஒருபோதும்
we're,நாங்கள்
too,கூட
love,காதல்
she's,அவள்
I've,நான்
sure,நிச்சயம்
them,அவர்களுக்கு
more,மேலும்
over,ஓவர்
our,நமது
sorry,மன்னிக்கவும்
where,எங்கே
what's,என்ன
let,விடுங்கள்
thing,விஷயம்
am,நான்
maybe,இருக்கலாம்
down,கீழ்
man,ஆண்
has,உள்ளது
uh,ஓ
very,மிகவும்
by,மூலம்
